科目名,先生,学期,学年,科目群,授業形態,単位数,評価,URL
哲学,三平正明,前期,,総合教育科目,対面授業（一部遠隔授業）,2,授業内テスト(50%)、授業参画度(50%) 【授業参画度】は小テスト等によって評価します。 【授業内テスト】は、最終回に実施します。 ＊授業達成目標の A-1-3 と A-4-3 は、授業における学修の積み重ねの結果、授業の最後に達成されます。そして、その評価は、授業参画度と授業内テストをあわせて行われます。,https://syllabus.chs.nihon-u.ac.jp/op/syllabus95049.html
哲学,三平正明,後期,,総合教育科目,対面授業（一部遠隔授業）,2,授業内テスト(50%)、授業参画度(50%) 【授業参画度】は小テスト等によって評価します。 【授業内テスト】は、最終回に実施します。 ＊授業達成目標の A-1-3 と A-4-3 は、授業における学修の積み重ねの結果、授業の最後に達成されます。そして、その評価は、授業参画度と授業内テストをあわせて行われます。,https://syllabus.chs.nihon-u.ac.jp/op/syllabus95050.html
論理学,高取正大,後期,,総合教育科目,対面授業,2,授業内テスト:授業内テストは中間テストと期末テストを合わせて評価します。(60%)、授業参画度:授業参画度は毎回のリアクションペーパーで評価します。(40%),https://syllabus.chs.nihon-u.ac.jp/op/syllabus99493.html
倫理学,磯部笑子,前期,,総合教育科目,対面授業,2,授業内テスト(44%)、授業参画度:課題(56%) 授業参画度は、アンケートの提出を通して、「省察力(A-8-1)」を評価する。,https://syllabus.chs.nihon-u.ac.jp/op/syllabus95052.html
倫理学,磯部笑子,後期,,総合教育科目,対面授業,2,授業内テスト(44%)、授業参画度:課題(56%) 授業参画度は、アンケートの提出を通して、「省察力(A-8-1)」を評価する。,https://syllabus.chs.nihon-u.ac.jp/op/syllabus95053.html
美学,櫻井一成,前期,,総合教育科目,対面授業,2,試験(90%)、授業参画度:リアクション・ペーパーの内容など(10%) 期末テストで、授業内容を理解することができているかを確認します。 〈問題を共有し、共に考える〉という観点からリアクション・ペーパーを評価します。 成績評価の仕方については、初回の授業でより詳しく説明する予定です。,https://syllabus.chs.nihon-u.ac.jp/op/syllabus95054.html
美学,高橋陽一郎,後期,,総合教育科目,対面授業,2,試験(70%)、授業参画度:学期内に3回課すリアクションペーパー(30%) 履修の修正期間が終了した直後から12回の出席を取り、そのうち7回以上の出席をもって、成績評価を受ける資格を有するものとします（出席が6回までの人は自動的にD判定となります）。,https://syllabus.chs.nihon-u.ac.jp/op/syllabus95055.html
宗教学,冨田真浩,前期,,総合教育科目,対面授業,2,授業内テスト:第７回と第１３回の全２回実施します。それぞれ50％で評価します。(100%) 出欠はとりませんが，すべての授業に遅刻せずに参加することを前提として，全２回の授業内テストで評価します。 片方でも授業内試験を欠席された場合は単位を認定できません。 授業内テストは，持ち込み不可の筆記形式と授業参画度を見るための論述形式の複合的な試験とします。,https://syllabus.chs.nihon-u.ac.jp/op/syllabus95056.html
宗教学,冨田真浩,後期,,総合教育科目,対面授業,2,授業内テスト:第７回と第１３回の全２回実施します。それぞれ50％で評価します。(100%) 出欠はとりませんが，すべての授業に遅刻せずに参加することを前提として，全２回の授業内テストで評価します。 片方でも授業内試験を欠席された場合は単位を認定できません。 授業内テストは，持ち込み不可の筆記形式と授業参画度を見るための論述形式の複合的な試験とします。,https://syllabus.chs.nihon-u.ac.jp/op/syllabus95057.html
歴史学,高井康行,後期,,総合教育科目,対面授業,2,レポート(60%)、授業参画度(40%) ・授業参画度は、授業内でのディスカッション参画の積極性および小レポートなどにより評価する。 ・小レポート（4回実施予定）は対応する授業回の内容に即したものになっているか否か、期末レポートは史料批判の方法論を踏まえたものになっているか否かにより評価する。 ・対面授業に参加できない用件を満たし、Zoomまたは録画配信によって参加した場合も、上記の各小レポート・期末レポートの提出によって評価する。対面授業での評価と差が出ることはない。,https://syllabus.chs.nihon-u.ac.jp/op/syllabus95058.html
歴史学,杉田建斗,前期,,総合教育科目,対面授業,2,試験(50%)、授業内テスト:第2～14回に毎回行う小テストで評価します〔小テストの受験は授業への出席を前提とします〕(35%)、授業参画度:リアクションペーパーで評価します(15%),https://syllabus.chs.nihon-u.ac.jp/op/syllabus95059.html
考古学,小泉龍人,前期,,総合教育科目,対面授業（一部遠隔授業）,2,"レポート:授業内容を理解して目標に到達しているかどうか、参考文献を適切に引用して考察しているかどうかを評価(60%)、授業内テスト:適宜、授業中にリアクションペーパーを実施して、授業の理解度を評価(20%)、授業参画度:授業マナー、LMSディスカッションへの投稿、講師からの問い掛けへの対応などを評価(20%) 【期末レポート】授業にて解説予定の「期末レポートの書き方」を確認した上で、レポート（2,000字前後）を期日までにCanvas LMS課題にて提出する。 【授業内テスト】対面参加者は教室にて用紙に記入して提出、オンライン参加者はメールにて提出（いずれも授業時間内受付）。オンデマンド視聴者は別途指示。 【授業参画度】遅刻（無断・遅延オンライン参加含む）２回で欠席扱い。授業中、講師から意見等を求められたら自身の考えなどを率直に述べ、授業マナーを守る（私語・食事等の授業の妨げとなる言動、授業に関係のない行為は慎む）。ディスカッションへ積極的に投稿する。",https://syllabus.chs.nihon-u.ac.jp/op/syllabus95060.html
文学,康潤伊,前期,,総合教育科目,対面授業,2,レポート:期末レポート(50%)、授業参画度:リアクションペーパーの内容(50%),https://syllabus.chs.nihon-u.ac.jp/op/syllabus95061.html
文学,堀切大史,後期,,総合教育科目,対面授業,2,授業内テスト(20%)、感想文(80%) 毎回提出する感想文および学期末に行う授業内テストによって評価します。,https://syllabus.chs.nihon-u.ac.jp/op/syllabus95062.html
言語学,松﨑寛,後期,,総合教育科目,対面授業,2,試験(40%)、レポート:毎回授業後に課題を出す。14回×5点(60%) 毎週の課題は、解答があっていても解説が間違っていたら０点。解説を写しあっている者は双方０点。,https://syllabus.chs.nihon-u.ac.jp/op/syllabus95063.html
民俗学,野村典彦,前期,,総合教育科目,対面授業,2,レポート:中間課題と期末課題。詳細は授業内で指示する。(85%)、授業内テスト(5%)、授業参画度(5%)、授業時提出物(5%) 中間課題と期末課題の比は「４対６」とする。 期末課題が提出されなければ評価は「不可」とする。,https://syllabus.chs.nihon-u.ac.jp/op/syllabus95064.html
民俗学,斎藤弘美,前期,,総合教育科目,対面授業,2,"レポート:学修したテーマ・内容をもとに独自に調査・研究した期末レポートを提出することでA1,2,3の理解度・達成度を確認し評価する(40%)、授業参画度:リアクションコメントの内容により自ら考え学ぶ姿勢とA1,2,3理解度・達成度を評価(60%) 病欠等、申告により認められた欠席の場合は、期末レポート提出と同時期に公表する欠席者用特別課題を提出することにより、授業参画度評価を行います。提出に当たっては、事前あるいは事後に理由を記載した欠席届をメール等により提出し、やむなしと認められていることを条件とします。 期末レポートおよび欠席者用特別課題はCanvasLMS上に提出してください。",https://syllabus.chs.nihon-u.ac.jp/op/syllabus95065.html
民俗学,斎藤弘美,後期,,総合教育科目,対面授業,2,"レポート:学修したテーマ・内容をもとに独自に調査・研究した期末レポートを提出することでA1,2,3の理解度・達成度を確認し評価する(40%)、授業参画度:リアクションコメントの内容により自ら考え学ぶ姿勢とA1,2,3理解度・達成度を評価(60%) 病欠、忌引き、就職活動等、申告によりやむを得ないと認められた欠席の場合は、期末レポートと同時期に公表する欠席者用特別課題の提出により、授業参画度評価を行います。提出に当たっては、事前あるいは事後に欠席理由を標記したメールを送信し、教員よりやむなしと認められていることを条件とします。 期末レポートおよび欠席者用特別課題はCanvasLMS上に提出してください。",https://syllabus.chs.nihon-u.ac.jp/op/syllabus95066.html
「生きる」ことの哲学,鈴木生郎,前期,,総合教育科目,対面授業,2,レポート(70%)、授業参画度:毎回のテストに基づいて評価します。(30%),https://syllabus.chs.nihon-u.ac.jp/op/syllabus95067.html
「生きる」ことの哲学,鈴木生郎,後期,,総合教育科目,対面授業,2,レポート(70%)、授業参画度:毎回のテストに基づいて評価します。(30%),https://syllabus.chs.nihon-u.ac.jp/op/syllabus95068.html
現代思想論,渡辺彰規,後期,,総合教育科目,対面授業,2,授業内テスト:中間試験，期末試験を行い，その点数を評価する。(80%)、授業参画度:リアクションペーパーの提出状況を踏まえて評価する。(20%) 授業参画度は授業出席回数を意味するものではなく、授業内容の理解度をリアクションペーパーの提出状況から判断します。つまり，現代的な課題に対する論理的・批判的思考力(A-3-1)、継続性をもった考察力(A-8-1)の修得状況の評価で判断します。 また，中間支援と期末試験においては，重要概念の理解度や論述の適正さ、倫理的課題に対する理解・説明力(A-1-1)を評価します。,https://syllabus.chs.nihon-u.ac.jp/op/syllabus95069.html
異文化間コミュニケーション論,大川謙作,前期,,総合教育科目,対面授業,2,試験(50%)、授業参画度:授業参画度は毎回の課題の提出状況およびその出来によって判断する。(50%) ・15回授業終了後の試験期間（第16週）に期末試験を実施する。 （試験が実施される曜限は授業実施の曜日・時限とは異なるので注意し、試験期間は予定を空けておくこと。試験の時刻が決定されるのは通常かなり遅く、そこからでは予定調整が間に合わない可能性が高いので今から予定を空けるようにしておくこと）,https://syllabus.chs.nihon-u.ac.jp/op/syllabus95070.html
異文化間コミュニケーション論,リテイ,前期,,総合教育科目,対面授業,2,レポート(30%)、授業参画度(30%)、課題(40%),https://syllabus.chs.nihon-u.ac.jp/op/syllabus95071.html
日本の歴史・社会・文化,久保隆司,前期,,総合教育科目,対面授業,2,レポート:求めるテーマと内容、提出状況をみて評価します。(30%)、授業内テスト:2回予定している小テストを合わせて評価します。(30%)、授業参画度:毎週のリアクションペーパー等で評価します。(40%),https://syllabus.chs.nihon-u.ac.jp/op/syllabus95072.html
日本の歴史・社会・文化,門脇大,前期,,総合教育科目,対面授業,2,授業内テスト(100%) 出席は成績評価に含めないが、2/3以上の欠席がある場合は評価の対象外とする。,https://syllabus.chs.nihon-u.ac.jp/op/syllabus95073.html
欧米の歴史・社会・文化,山本興一郎,前期,,総合教育科目,対面授業,2,授業内テスト(50%)、授業参画度(50%) 授業内テスト（50％）：第15回授業時に実施する。設問に対し、授業内容を踏まえた論述ができているかで評価する。 授業参画度（50％）：毎回の授業内容を確認するための小課題で評価する。 ＊小課題について：授業に出席し、当該授業をどれだけ理解したか復習を兼ねて確認するために小課題（授業参画度評価対象）を課しているので、当該授業欠席者から提出された小課題は評価対象外とする。 ＊「〆切後」に提出された小課題は評価対象外とする。,https://syllabus.chs.nihon-u.ac.jp/op/syllabus95074.html
欧米の歴史・社会・文化,堀切大史,前期,,総合教育科目,対面授業,2,授業内テスト(20%)、感想文(80%) 毎回提出する感想文および学期末に行う授業内テストによって評価します。,https://syllabus.chs.nihon-u.ac.jp/op/syllabus95075.html
欧米の歴史・社会・文化,井関正久,後期,,総合教育科目,対面授業,2,"試験(100%) 論述試験によって（A-1,A-2,A-3）に関して評価する。",https://syllabus.chs.nihon-u.ac.jp/op/syllabus95076.html
欧米の歴史・社会・文化,飯塚遼,前期,,総合教育科目,対面授業,2,レポート:求めるテーマと内容、提出状況をみて評価する。(20%)、授業内テスト:期末テストを行う。(70%)、授業参画度:Blackboardを通じたチェックテストで評価する。(10%),https://syllabus.chs.nihon-u.ac.jp/op/syllabus95077.html
アジアの歴史・社会・文化,熱田敬子,後期,,総合教育科目,対面授業（一部遠隔授業）,2,レポート(50%)、授業参画度:課題の提出状況、ディスカッションやグループワークへの参加で評価する(30%)、中間課題を課す(20%) 生成AIに丸投げで論理構成を行った課題は、自分自身が他者に説明可能な論理構成を行うことを怠ったという点で、厳しく評価します。 また生成AIを利用した不正を防ぐため、各回の課題などはコピーアンドペーストができない入力フォーマットを提示する。,https://syllabus.chs.nihon-u.ac.jp/op/syllabus95078.html
アジアの歴史・社会・文化,多々良圭介,前期,,総合教育科目,対面授業,2,レポート:授業内で提示される定期レポートを解答・提出して下さい(50%)、授業内テスト:各回ごとに提示される課題を解答・提出して下さい(20%)、授業参画度(30%),https://syllabus.chs.nihon-u.ac.jp/op/syllabus95079.html
イスラム圏の歴史・社会・文化,臼杵悠,前期,,総合教育科目,対面授業,2,授業内テスト:期末試験を行い、その点数を評価します。(40%)、授業参画度:Canvas LMSを用いた課題提出（選択問題や短い記述等）、もしくはグループワーク（実施する場合は数分ほどの発表時間を設けます）のいずれかを毎回行い、その内容を評価します。(60%) ・５回以上欠席した場合は特段の事情がない限り、単位を出すことができません。 ・試験を受けなかった（もしくはそれに準ずるレポートを提出しなかった）場合は、単位を出すことができません。,https://syllabus.chs.nihon-u.ac.jp/op/syllabus95080.html
イスラム圏の歴史・社会・文化,六辻彰二,後期,,総合教育科目,遠隔授業（オンデマンド型）,2,レポート:学期末レポート(70%)、小テスト(30%) 小テストはCanvas LMSを通じて半期で3回、授業時間外に提出する。 学期末にレポート課題を提出する。,https://syllabus.chs.nihon-u.ac.jp/op/syllabus95081.html
美術史,伊藤已令,前期,,総合教育科目,対面授業,2,試験(50%)、授業参画度:課題、発言(50%) 定期試験と授業参画度によって評価します。,https://syllabus.chs.nihon-u.ac.jp/op/syllabus95082.html
美術史,郭在祐,前期,,総合教育科目,対面授業,2,レポート:授業内容によって事前に知らせます。(30%)、授業内テスト:授業内容によって小テスト(鑑賞文め意見)をします。(50%)、授業参画度:毎回出席は取ります。部活活動での欠席は認めません。(20%) 授業内での積極的な発言や発表の内容により評価する。そして、課題の提出率及び内容により評価する。 レポートは、提出された課題によって評価する。,https://syllabus.chs.nihon-u.ac.jp/op/syllabus95083.html
美術史,金子馨,後期,,総合教育科目,対面授業,2,授業内テスト:授業時に確認テストを行う(60%)、授業参画度:受講姿勢のほか、毎時間のリアクションペーパーの回答内容や提出物など(40%) 授業内に実施する確認テストや授業の参画度をもとに総合的に判断する。状況に応じて、レポートなどの課題も課す。 なお、出席が３分の２に満たない場合は、評価の対象外とする。,https://syllabus.chs.nihon-u.ac.jp/op/syllabus95084.html
演劇論,星野高,後期,,総合教育科目,対面授業,2,試験(60%)、授業内テスト:小テスト(30%)、授業参画度:授業内容に関するコメントなどの提出状況(10%),https://syllabus.chs.nihon-u.ac.jp/op/syllabus95085.html
演劇論,元氏久美子,後期,,総合教育科目,対面授業,2,レポート(25%)、授業参画度(75%) 授業参画度は毎回の課題等で評価する。,https://syllabus.chs.nihon-u.ac.jp/op/syllabus95086.html
映像文化論,櫻井一成,後期,,総合教育科目,対面授業,2,試験(90%)、授業参画度:リアクション・ペーパーの内容など(10%) 授業内試験により、授業内容を理解することができているかを確認します。 受講者が多い場合、授業内試験に加え、LMS上でレポート課題に取り組んでもらう場合があります（問題の総量に変更はありません）。 〈問題を共有し、共に考える〉という観点からリアクション・ペーパーを評価します。,https://syllabus.chs.nihon-u.ac.jp/op/syllabus95087.html
映像文化論,三澤真美恵,後期,,総合教育科目,対面授業（一部遠隔授業）,2,試験(70%)、授業参画度(30%) 授業参画度は授業内で実施するクイズやミニッツ・ペーパー、ディスカッションなどによって評価する。,https://syllabus.chs.nihon-u.ac.jp/op/syllabus95088.html
映像文化論,舘けさみ,前期,,総合教育科目,対面授業,2,授業内テスト:第14回授業内試験(40%)、授業参画度:授業参画度は課題の提出状況およびその内容によって評価する。(60%) 授業参画度を測る課題は６回行う予定。但し授業進捗状況により回数を変更する場合がある。,https://syllabus.chs.nihon-u.ac.jp/op/syllabus95089.html
映像文化論,遠山純生,前期,,総合教育科目,対面授業,2,授業内テスト:中間試験、期末試験(80%)、授業参画度:リアクションペーパー(20%) （１）対⾯授業に参加できない場合の要件を満たし，Zoom で参加した場合，課題の提出によって評価する。 （２）やむを得ない事情により授業内試験を受けられない場合，レポート（テーマは個別に指示する）の提出によって評価する。,https://syllabus.chs.nihon-u.ac.jp/op/syllabus95090.html
身体表現論,高山昇,後期,,総合教育科目,対面授業（ハイフレックス型）,2,レポート:中間＆最終(40%)、リアクションペーパー（毎授業の振り返りコメント）(60%) ■期間中2/3（10回）以上の出席（リアクションペーパーの提出をもって出席をカウントします）を満たした学生を対象に成績評価を行います。リアクションペーパーやレポートは、課題が求めている記述内容と提出状況によって評価を行います。課題の提出は、指定された期日と時間を厳守して下さい。期限を過ぎた提出物については、成績評価に算入しません。リアクションペーパーとレポートを総合し、60％以上の得点者を合格とします。 ■リフレクションシートや課題の提出に関わる不正行為（授業に出ていないのに提出する。他人のコメントを盗用するなど。）には厳正に対処します。不正が発覚した場合は、各所属学科に報告した上で成績評価対象者から除外し、この科目を不合格とします。,https://syllabus.chs.nihon-u.ac.jp/op/syllabus95231.html
教育と人間理解 身体表現論,西牧謙吾,後期,,総合教育科目,対面授業,2,レポート:毎回の授業で課すリアクションペーパーで代替する(80%)、授業内テスト:高校の内容について確認することがある(5%)、授業参画度:毎回、講義内でデスカッションの時間を設ける(10%)、期限内提出を必須(5%) 課題は、毎回100点満点で採点する。本人の学びがわかる内容が書かれていれば加点する。出席していて、課題を提出すれば、最低70点を保証する。期限内に提出がないれば減点する。,https://syllabus.chs.nihon-u.ac.jp/op/syllabus95091.html
音楽文化論,小林幸子,前期,,総合教育科目,遠隔授業（オンデマンド型）,2,授業内テスト:第15回授業内の期末試験（Canvas LMSにて提出）で評価(50%)、授業参画度:授業課題の提出状況や解答内容で評価(50%),https://syllabus.chs.nihon-u.ac.jp/op/syllabus95092.html
音楽文化論,堀切大史,後期,,総合教育科目,対面授業,2,授業内テスト(20%)、感想文(80%) 毎回提出する感想文および学期末に行う授業内テストによって評価します。,https://syllabus.chs.nihon-u.ac.jp/op/syllabus95093.html
言語学から見た世界,松﨑寛,前期,,総合教育科目,対面授業,2,試験(40%)、レポート:毎回授業後に課題を出す。14回×5点(60%),https://syllabus.chs.nihon-u.ac.jp/op/syllabus95094.html
多言語・多文化社会と日本語教育 国際日本学入門１,リテイ,前期,,総合教育科目,対面授業,2,レポート(30%)、授業参画度(30%)、課題20％、プロジェクトワーク20％(40%) 授業参画度は予習や教室活動の参加度、授業への貢献度、毎回のグループワーク（質問・コメント・ディスカッション）などで評価される。オンライン受講の場合もグループ活動に参加する必要があり、物理的な距離など現実問題も考慮するが、評価方法と基準は基本的に対面参加と同様。,https://syllabus.chs.nihon-u.ac.jp/op/syllabus95095.html
異文化理解と日本語学習 国際日本学入門２,リテイ,後期,,総合教育科目,対面授業,2,レポート(30%)、授業参画度(30%)、課題(40%) 授業参画度は予習や教室活動の参加度、授業への貢献度、毎回のグループワーク（質問・コメント・ディスカッション）などで評価される。オンライン受講の場合もグループ活動に参加する必要があり、物理的な距離など現実問題も考慮するが、評価方法と基準は基本的に対面参加と同様。,https://syllabus.chs.nihon-u.ac.jp/op/syllabus95096.html
