科目名,先生,学期,学年,科目群,授業形態,単位数,評価,URL
労働と労働者の権利,松井丈晴,前期,,総合教育科目,対面授業,2,試験(50%)、レポート:授業全体の理解度確認のための総括したレポートを課す(25%)、授業内テスト:授業内容の小テストを行い評価する。(25%) 試験は、各回で学修した内容を修得しているかどうかを、その点数にて評価する。 小テストは宿題の提出状況と論理的・批判的な思考で作成され、問題発見し、解決策を提案できているかで評価する。 なお、評価基準についてはあらかじめ配布プリントに詳細に記載する。 原則対面授業のため、やむを得ない事由（就職活動や公欠）で欠席の場合は、その証明をすれば、出席として考慮するが、その欠席分の補いをしないと小テストができないので注意すること。,https://syllabus.chs.nihon-u.ac.jp/op/syllabus95139.html
国際法,藤原泉,前期,,総合教育科目,対面授業,2,試験(100%),https://syllabus.chs.nihon-u.ac.jp/op/syllabus95140.html
国際法,藤原泉,後期,,総合教育科目,対面授業,2,試験(100%),https://syllabus.chs.nihon-u.ac.jp/op/syllabus95141.html
国際情勢,日吉秀松,前期,,総合教育科目,対面授業（一部遠隔授業）,2,試験(60%)、レポート:1回（2000字以上）(20%)、授業参画度:ディベートに参加する姿勢（発言の度合い）(20%) 冷戦の原因、構造および変化を検証しつつ、冷戦の本質を理解したうえで、国際情勢と結合するレポートなどにより、国際情勢の知識の習得状況を確認し、評価します。,https://syllabus.chs.nihon-u.ac.jp/op/syllabus95142.html
国際情勢,日吉秀松,後期,,総合教育科目,対面授業（一部遠隔授業）,2,試験(60%)、レポート:1回（2000字以上）(20%)、授業参画度:ディベートに参加する姿勢（発言の度合い）(20%) 冷戦の原因、構造および変化を検証しつつ、冷戦の本質を理解したうえで、国際情勢と結合するレポートなどにより、国際情勢の知識の習得状況を確認し、評価します。,https://syllabus.chs.nihon-u.ac.jp/op/syllabus95143.html
国際情勢,六辻彰二,後期,,総合教育科目,対面授業,2,レポート(70%)、小テスト(30%) 小テストはCanvas LMSを通じて、半期で3回、授業時間外に提出する。 学期末にレポートを提出する。,https://syllabus.chs.nihon-u.ac.jp/op/syllabus95144.html
国際経済論,前野高章,前期,,総合教育科目,対面授業,2,授業内テスト:複数回の小テストおよび講義最終回の確認テストから評価する。(70%)、授業参画度:複数回のリアクションペーパー等で評価する。(30%),https://syllabus.chs.nihon-u.ac.jp/op/syllabus95145.html
国際経済論,前野高章,後期,,総合教育科目,対面授業,2,授業内テスト:複数回の小テストおよび講義最終回の確認テストから評価する。(70%)、授業参画度:複数回のリアクションペーパー等で評価する。(30%),https://syllabus.chs.nihon-u.ac.jp/op/syllabus95146.html
スポーツ文化論,城間修平,前期,,総合教育科目,遠隔授業（同時双方向型）,2,レポート:課題レポート(50%)、授業内テスト:各授業時の小テストも含む(50%) 毎回の授業内テストや課題の提出状況等を総合的に評価する。,https://syllabus.chs.nihon-u.ac.jp/op/syllabus95147.html
スポーツ文化論,城間修平,後期,,総合教育科目,遠隔授業（同時双方向型）,2,レポート:課題レポート(50%)、授業内テスト:各授業時の小テストも含む(50%) 毎回の授業内テストや課題の提出状況等を総合的に評価する。,https://syllabus.chs.nihon-u.ac.jp/op/syllabus95148.html
データアナリティクス,大川内隆朗,後期,,総合教育科目,対面授業（一部遠隔授業）,2,レポート(50%)、毎週の小テストおよび小課題(50%),https://syllabus.chs.nihon-u.ac.jp/op/syllabus95149.html
ダイバーシティ＆インクルージョン 総合研究１～８（ダイバーシティ＆インクルージョン）,石岡丈昇,前期,,総合教育科目,対面授業（一部遠隔授業）,2,授業参画度:各教員の採点を総合して評価する(100%),https://syllabus.chs.nihon-u.ac.jp/op/syllabus95150.html
LGBTQを知る 総合研究１～８（LGBTQを知る）,郭立夫,後期,,総合教育科目,対面授業,2,レポート:期末レポート(100%) 期末レポートを100％にするが、出席率が70％以下の場合は、採点対象になりません。,https://syllabus.chs.nihon-u.ac.jp/op/syllabus95151.html
「障害」の科学 総合研究１～８（「障害」の科学）,田中謙,後期,,総合教育科目,対面授業（一部遠隔授業）,2,レポート:期末レポート(90%)、授業参画度:学習状況の振り返りに関わる自己評価(10%) 授業内容の理解に関わる期末レポート（90%）、学習状況の振り返りに関わる自己評価（10%）により総合的に評価する。,https://syllabus.chs.nihon-u.ac.jp/op/syllabus95152.html
数学,立井博子,後期,,総合教育科目,対面授業,2,"レポート:授業内で提出した課題の内容(30%)、授業内テスト:第１５回授業内テストの内容を評価する(70%) 授業参画度は毎回の課題で評価する． また各課題に対する取り組みを通じて (A-5)を評価する。 レポートは，議論の正確さと学習内容の理解度を中心に評価し，レポートを通じて(A-3,A-4)の達成度を評価． ［対面での参加が困難な場合の取り扱い］事前に教員に該当期間を連絡した上で授業資料のPDF配布．ただし事前連絡なしでの場合は原則遅延扱い．修了レポートはオンライン提出可． 授業内テスト:最終授業内試験結果(70%)、授業参画度:毎回の提出課題(30%) 授業内テスト70% と 授業参画度 30% の根拠は以下の通りです. (1) 授業内試験は, 100点満点の試験になります. (2) 授業参画度(いずれも質問応答の伝達欄あり)は第1回ガイダンスと第15回授業内試験を除く13回で毎回10点ですので, 合計230点満点になります. 以上により, パーセントを算出しました.",https://syllabus.chs.nihon-u.ac.jp/op/syllabus95153.html
物理学,川上隆輝,前期,,総合教育科目,対面授業,2,授業内テスト:第15回のときに対面で学期末テストを行う。(30%)、授業参画度:第1回から第14回は，対面での授業に参加し，確認テストの答案を採点して総合的に判断する。(70%) 確認テストは期日を設けて提出してもらう。確認テストの提出が遅延になった場合は減点する。 教員の許可をもらってオンデマンド型で受講する学生は，授業の教材の視聴状況と確認テストの得点を総合的に評価して授業参画度とする。,https://syllabus.chs.nihon-u.ac.jp/op/syllabus95154.html
物理学,川上隆輝,後期,,総合教育科目,対面授業,2,授業内テスト:第15回のときに対面で学期末テストを行う。(30%)、授業参画度:第1回から第14回は，対面での授業に参加し，確認テストの答案を採点して総合的に判断する。(70%) 確認テストは期日を設けて提出してもらう。確認テストの提出が遅延になった場合は減点する。 教員の許可をもらってオンデマンド型で受講する学生は，授業の教材の視聴状況と確認テストの得点を総合的に評価して授業参画度とする。,https://syllabus.chs.nihon-u.ac.jp/op/syllabus95155.html
化学,柳川昭久,前期,,総合教育科目,対面授業,2,授業内テスト:授業内テストは小テスト、期末テスト等を合わせて評価する。(40%)、授業参画度:授業参画度は毎回の授業内課題等で評価する。(60%) 小テストまたは課題は授業の理解を深めるため毎回の授業において行う。理解できなかった設問については、復習において再度設問の解答を完成させることでA-3、A-4の達成度を判定する。また課題の一部では、これまでの授業において疑問に思ったことや興味を持ったことについて、自らテーマを設定し、調べた内容をまとめたものを提出とする。この学習によって化学の基礎知識を深めることを重視している。基礎的な化学知識に基づいて自然科学に関する諸現象やさまざまな事象に潜む化学的な問題を発見し説明することができることを確認することでA-4の達成度を判定する。事情があり授業に参加できない学生については別途課題を与え、その内容から達成度を判定し、それらに基づいて成績を判定する。,https://syllabus.chs.nihon-u.ac.jp/op/syllabus95156.html
生命科学,地引和也,前期,,総合教育科目,対面授業,2,授業内テスト:各回の小テストの得点率により評価する。(100%),https://syllabus.chs.nihon-u.ac.jp/op/syllabus95157.html
生命科学,地引和也,後期,,総合教育科目,対面授業,2,授業内テスト:各回の小テストの得点率により評価する。(100%),https://syllabus.chs.nihon-u.ac.jp/op/syllabus95158.html
地球科学,田中明子,前期,,総合教育科目,対面授業（一部遠隔授業）,2,試験(60%)、授業内テスト(40%) 試験 (授業内) 60 %，授業内小テスト 2 回合計 40 ％ により， 地球の形，重力，地磁気，地球の内部構造，プレートテクトニクス，地震・火山活動に関する基本的な事項の理解度を評価する．,https://syllabus.chs.nihon-u.ac.jp/op/syllabus95159.html
地球科学,戸邉勇人,後期,,総合教育科目,対面授業,2,試験(100%) 試験（テスト）の結果、60%以上の正解を合格とする,https://syllabus.chs.nihon-u.ac.jp/op/syllabus95160.html
宇宙科学,新田伸也,前期,,総合教育科目,対面授業,2,試験(100%),https://syllabus.chs.nihon-u.ac.jp/op/syllabus95161.html
統計学,立井博子,前期,,総合教育科目,対面授業,2,"レポート:議論の正確さと学修内容の理解度を評価する(30%)、授業内テスト:習熟度チェックの成績を評価する(70%) 遠隔参加でも対面参加と同様に評価する。 毎回のレポートを通して、A-3,A-4の達成度を評価し, 数学的整理を通してA-5の達成度を評価する。 また, 事後学修への取り組みを通じて、A-8を評価する。",https://syllabus.chs.nihon-u.ac.jp/op/syllabus95162.html
情報科学,渡辺勇士,前期,,総合教育科目,対面授業（一部遠隔授業）,2,レポート:第11回のプログラム課題と最終プログラム課題(30%)、授業参画度:授業ごとの予習レポート・小課題（事後課題）(40%)、各授業の振り返り(30%) ・ プログラム課題は、授業全体の2回ほど課す予定で，その内容を基に評価します。 ・ 情報科学コンテストへの取り組みは，授業参画度に含めますが，得点そのものは評価には含めません。 ・ 各回の事後学習は，授業参画度に含めます。 ・ オンライン参加の場合でも、対面参加の学生と同じ基準で評価します。 ・ 基本的に LMSでコミュニケーション行います。,https://syllabus.chs.nihon-u.ac.jp/op/syllabus99502.html
情報科学,渡辺勇士,後期,,総合教育科目,対面授業（一部遠隔授業）,2,レポート:第11回のプログラム課題と最終プログラム課題(30%)、授業参画度:授業ごとの予習レポート・小課題（事後課題）(40%)、各授業の振り返り(30%) ・ プログラム課題は、授業全体の2回ほど課す予定で，その内容を基に評価します。 ・ 情報科学コンテストへの取り組みは，授業参画度に含めますが，得点そのものは評価には含めません。 ・ 各回の事後学習は，授業参画度に含めます。 ・ オンライン参加の場合でも、対面参加の学生と同じ基準で評価します。 ・ 基本的に LMSでコミュニケーション行います。,https://syllabus.chs.nihon-u.ac.jp/op/syllabus95163.html
科学史,武正泰史,後期,,総合教育科目,対面授業,2,レポート:中間レポート、求めるテーマについての内容、形式、提出状況によって評価(30%)、授業内テスト:毎回の授業後に提出してもらう小テストと授業内期末試験(50%)、授業参画度:リアクションペーパー、LMS提出(20%),https://syllabus.chs.nihon-u.ac.jp/op/syllabus95164.html
人類の進化,デイビッドスプレイグ,前期,,総合教育科目,対面授業（一部遠隔授業）,2,試験(100%) ・Canvas LMSによる中間試験2回（各成績の25%）、期末試験（成績の50%）を実施する。,https://syllabus.chs.nihon-u.ac.jp/op/syllabus95165.html
人類の進化,デイビッドスプレイグ,前期,,総合教育科目,対面授業（一部遠隔授業）,2,試験(100%) Canvas LMSによる中間試験2回（各成績の25%）、期末試験（成績の50%）を実施する。,https://syllabus.chs.nihon-u.ac.jp/op/syllabus95166.html
データと対話するための統計学,菅野剛,後期,,総合教育科目,対面授業,2,授業内テスト(85%)、課題(15%) 単位修得には、 高等学校 数学I（必履修科目）「データの分析」、高等学校 数学A 「場合の数と確率」、高等学校 数学B 「確率分布と統計的な推測」、大学基礎科目レベルの統計学 の理解が必要です。 以上を踏まえ、課題を通して （A-3-1）（A-4-1）（A-5-1）の修得状況を評価します。,https://syllabus.chs.nihon-u.ac.jp/op/syllabus95167.html
身のまわりの生命現象,神村圭亮,後期,,総合教育科目,対面授業,2,授業内テスト:学期末に授業内テストを行う。これにより、「論理的・批判的思考力 (A-3-1)」、「問題発見・解決力 (A-4-1)」及び「挑戦力 (A-5-1)」を評価する。(30%)、授業参画度:毎回配布する小課題の提出状況を評価する。(70%),https://syllabus.chs.nihon-u.ac.jp/op/syllabus95168.html
環境と生命のつながり,新津修平,前期,,総合教育科目,対面授業,2,試験(60%)、授業内テスト:小テスト（40%）、期末テスト（60%）(40%) ・各講義の最後に実施する小テストと期末試験の総合得点に基づいて評価する。 ・これにより、論理的・批判的思考力 (A-3)、問題発見・解決力 (A-4)、挑戦力 (A-5) を評価する。,https://syllabus.chs.nihon-u.ac.jp/op/syllabus95169.html
ゲノム改変と私たちの生活,河本夏雄,後期,,総合教育科目,対面授業,2,試験(70%)、レポート:グループディスカッションでのレポート(30%),https://syllabus.chs.nihon-u.ac.jp/op/syllabus95170.html
日本の自然と災害,戸田真夏,後期,,総合教育科目,対面授業（一部遠隔授業）,2,レポート:12月下旬から1月中旬に課すレポート(40%)、授業内テスト:第15回の授業時に行う「授業内テスト」(60%),https://syllabus.chs.nihon-u.ac.jp/op/syllabus95171.html
気象と環境変化,森島済,後期,,総合教育科目,対面授業,2,授業内テスト(40%)、授業参画度:リアクションペーパー及び確認問題の回答状況(60%),https://syllabus.chs.nihon-u.ac.jp/op/syllabus95172.html
地球環境の変動と生命史,小森次郎,前期,,総合教育科目,対面授業（一部遠隔授業）,2,授業内テスト:授業内テスト（筆記式）を全15回の授業のうち2回実施(40%)、授業参画度:授業開始時のアンケート、および終了時の理解度チェックを兼ねたリアクションペーパーの提出を求めます（Web経由の提出）(40%)、授業内の作業や自由質疑への姿勢(20%),https://syllabus.chs.nihon-u.ac.jp/op/syllabus95173.html
身体の健康,松本恵,前期,,総合教育科目,遠隔授業（オンデマンド型）,2,レポート:授業期間に課題として数回と学期末に出題します。(30%)、授業内テスト:授業期間に復習チェックテストを出題します。(50%)、授業参画度:オンデマンド資料の視聴や復習チェックテストで評価します。(20%) 授業参画度は，Canvas LMSのオンデマンド資料の視聴状況と、毎回のリアクションペーパー等で授業参画度を評価します（A-3，A-4）。授業内テストは，小テスト等をCanvas LMS上でチェックテストとして実施し、合わせて評価します(A-1)。レポート内容は授業内容に関する調査をまとめてもらいます。内容・提出方法は授業内で指示します。,https://syllabus.chs.nihon-u.ac.jp/op/syllabus95174.html
身体の健康,松本恵,後期,,総合教育科目,遠隔授業（オンデマンド型）,2,レポート:授業期間に課題として数回と学期末に出題します。(30%)、授業内テスト:授業期間に復習チェックテストを出題します。(50%)、授業参画度:オンデマンド資料の視聴や復習チェックテストで評価します。(20%) 授業参画度は，Canvas LMSのオンデマンド資料の視聴状況と、毎回のリアクションペーパー等で授業参画度を評価します（A-3，A-4）。授業内テストは，小テスト等をCanvas LMS上でチェックテストとして実施し、合わせて評価します(A-1)。レポート内容は授業内容に関する調査をまとめてもらいます。内容・提出方法は授業内で指示します。,https://syllabus.chs.nihon-u.ac.jp/op/syllabus95175.html
心の健康,服部卓,前期,,総合教育科目,対面授業,2,授業内テスト:第14回に知識の確認を目的に行う。(70%)、授業参画度:授業参画度はオンデマンド教材の視聴状況とワークシートの回答状況による(30%) 授業内テストは対面で行う。 詳細は、講義内で案内する。,https://syllabus.chs.nihon-u.ac.jp/op/syllabus95176.html
心の健康,須永範明,後期,,総合教育科目,対面授業,2,試験(50%)、授業内テスト:理解度を自己確認するために毎回の授業時に実施する授業内小テスト(30%)、ウェルビーイング改善方法を日常生活の中で実践する課題（3課題）(20%) 試験では、授業内容全体の理解度を評価する。試験は定期試験期間に対面で実施する予定である。授業内小テストは毎回の授業で行ない、毎回の授業内容の理解度を評価する。すべての授業内小テストの合計得点を評価に用いる。ウェルビーイング改善方法を日常生活の中で実践する課題では、課題を行なったことをCanvas LMS上で報告していただく。ウェルビーイング改善方法を体験することが評価基準であるので、報告をすれば評価基準を満たす。 試験においてA-3-1、A-4-1の達成度を評価する。3つの課題の実行をもってA-5-1の達成と判断する。,https://syllabus.chs.nihon-u.ac.jp/op/syllabus95177.html
数学を楽しむ,松土恵理,前期,,総合教育科目,対面授業,2,"レポート(50%)、授業参画度(50%) 授業参画度は毎回の課題で評価する． また各課題に対する取り組みを通じて (A-5)を評価する。 レポートは，議論の正確さと学習内容の理解度を中心に評価し，レポートを通じて(A-3,A-4)の達成度を評価． ［対面での参加が困難な場合の取り扱い］ 〆切の変更を認めた課題については通常の課題と同等に取り扱う． 修了レポートはオンライン提出可．",https://syllabus.chs.nihon-u.ac.jp/op/syllabus95178.html
生活の中の数学 宇宙を理解する,松土恵理,後期,,総合教育科目,対面授業,2,"レポート(50%)、授業参画度(50%) 授業参画度は毎回の課題で評価する． また各課題に対する取り組みを通じて (A-5)を評価する。 レポートは，議論の正確さと学習内容の理解度を中心に評価し，レポートを通じて(A-3,A-4)の達成度を評価． ［対面での参加が困難な場合の取り扱い］〆切の変更を認めた課題については通常の課題と同等に取り扱う． 修了レポートはオンライン提出可．",https://syllabus.chs.nihon-u.ac.jp/op/syllabus95179.html
原子の世界,川上隆輝,後期,,総合教育科目,対面授業,2,授業内テスト:第15回のときに対面で学期末テストを行う。(30%)、授業参画度:対面での授業に参加し，確認テストの答案を採点して総合的に判断する(70%) 講義の後に毎回Canvas LMSを用いて確認テストを行う。 教員の許可をもらってオンデマンド型で受講する学生は，授業の教材の視聴状況と確認テストの得点を総合的に評価して授業参画度とする。 確認テストは期日を設けて提出してもらう。確認テストの提出が遅延になった場合は減点する。,https://syllabus.chs.nihon-u.ac.jp/op/syllabus95180.html
現代社会を支える化学,藤森裕基，岩堀史靖,後期,,総合教育科目,対面授業,2,レポート:前半部，後半部それぞれでレポートを課す。(80%)、授業参画度:リアクションペーパーの提出を求め，その内容で授業参画度を評価する。(20%) 受講態度が著しく不良であると判断された場合はレポートの提出を認めない（＝単位が出ない）場合がある。,https://syllabus.chs.nihon-u.ac.jp/op/syllabus95181.html
現代社会を支える科学技術,十代健,前期,,総合教育科目,対面授業（ハイフレックス型）,2,リアクションペーパーやクイズ(100%) 毎回のリアクションペーパーとクイズで評価します。リアクションペーパーの内容を、別の回の講義で取り上げることもあります。,https://syllabus.chs.nihon-u.ac.jp/op/syllabus95182.html
情報とコミュニケーション,渡辺勇士,前期,,総合教育科目,対面授業（一部遠隔授業）,2,"レポート:計2回のレポート課題(30%)、授業参画度:毎授業での予習課題・小テスト／小課題(40%)、毎授業での振り返り課題(30%) ・ DP,CPの達成度については、各テストおよびレポートによって総合的に評価を行う。 ・ 課題および授業内テスト等は、学内共通LMS（学習管理システム）の課題およびオンラインテストとする。 ・ オンライン参加の場合でも、対面参加と同じ基準で評価する。",https://syllabus.chs.nihon-u.ac.jp/op/syllabus99503.html
情報とコミュニケーション,渡辺勇士,後期,,総合教育科目,対面授業（一部遠隔授業）,2,"レポート:計2回のレポート課題(30%)、授業参画度:毎授業での予習課題・小テスト／小課題(40%)、毎授業での振り返り課題(30%) ・ DP,CPの達成度については、各テストおよびレポートによって総合的に評価を行う。 ・ 課題および授業内テスト等は、学内共通LMS（学習管理システム）の課題およびオンラインテストとする。 ・ オンライン参加の場合でも、対面参加と同じ基準で評価する。",https://syllabus.chs.nihon-u.ac.jp/op/syllabus95183.html
情報と社会,毛利康秀,後期,,総合教育科目,対面授業,2,レポート:試験を兼ねた期末レポートの内容で評価する（１回）(70%)、授業参画度:出席確認を兼ねた毎回の小課題によって参画度をはかる（15回）(30%) 最終的な評価は期末試験または期末レポートで行うが、小レポート課題の内容も成績に反映する。 対面での授業参加が難しい学生には、オンデマンド動画に関する小レポート課題および期末レポート課題によって代替する。詳細は別途Canvas LMSまたはメールにて指示する。,https://syllabus.chs.nihon-u.ac.jp/op/syllabus95184.html
情報と数理,古市茂,後期,,総合教育科目,遠隔授業（オンデマンド型）,2,授業内テスト:14回目の授業時に筆記試験を行いその結果で成績を評価します．(100%) 条件を満たしたうえで対面試験を受験できなかった者については，追試験により成績を評価する．,https://syllabus.chs.nihon-u.ac.jp/op/syllabus95185.html
